"auth.name","2012","2013","2014","2015","2016","change"
"Cardiff",6178,6612.819,6900,7256.977,7598.742,4.70946786795658
"Swansea",4422,4618,5171,5446,5666,4.03966213734852
"Carmarthenshire",2137.105,2447.559,2815.358,3105.993,3091.909,-0.453445967199539
"Gwynedd",2098,2097,2027,2538,2490,-1.89125295508275
"Conwy",1367.809,1391.697,1419.135,1886.046,1935.267,2.60974546750186
"Pembrokeshire",1297,1360,1521,1783,1867,4.71116096466628
"Denbighshire",1458,1300,1251,1300,1710.687,31.5913076923077
"Powys",1206.891,1196.459,1363,1602,1684,5.11860174781522
"Monmouthshire",1146.71,1182.541,1250.408,1420.871,1522.203,7.13168190497235
"Neath Port Talbot",1736,1507.012,1494,1376.046,1374.55,-0.108717295788086
"Rhondda Cynon Taf",1290.361,1384.112,1409.513,1291.035,1321.516,2.36097394725936
"Bridgend",1137.688,1356.798,1267.642,1219.9,1127.487,-7.57545700467251
"Ceredigion",1032.172,1122.81,1150.479,980.259,1108.664,13.099089118284
"Wrexham",846.987,154.977,1044.501,896.2518,974.097,8.68563945980359
"Vale of Glamorgan",318,955,788,686,764,11.3702623906706
"Caerphilly",659.235,702,721,702,675,-3.84615384615384
"Newport",660.439,604.873,620.76,639.8984,642.502,0.4068770917383
"Merthyr Tydfil",885.0389,831.6895,744.608,689.98,607.813,-11.9086060465521
"Isle of Anglesey",330,388,456,523,605,15.678776290631
"Flintshire",208.735,296.4271,450.0001,438.855,598.6638,36.414943432341
"Blaenau Gwent",0,30,38.483,30,30,0
"Torfaen",7,9,12,5,15,200
"Total",30423.1709,31548.7736,33914.8871,35817.1122,37410.1008,4.44756291658823
